1529649421 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649423 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649424 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649425 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649426 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649427 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649428 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649430 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649431 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649432 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649433 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649434 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649435 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649437 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649438 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649439 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649440 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529649441 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 4.9 wa, 0.0 hi, 0.1 si, 0.0 st
