1529649428 KiB Mem: 8197444 total, 8039008 used, 158436 free, 11336 buffers
1529649430 KiB Mem: 8197444 total, 8039848 used, 157596 free, 11336 buffers
1529649431 KiB Mem: 8197444 total, 8041816 used, 155628 free, 11336 buffers
1529649432 KiB Mem: 8197444 total, 8042164 used, 155280 free, 11344 buffers
1529649433 KiB Mem: 8197444 total, 8052180 used, 145264 free, 11344 buffers
1529649434 KiB Mem: 8197444 total, 8048268 used, 149176 free, 11344 buffers
1529649435 KiB Mem: 8197444 total, 8052372 used, 145072 free, 11344 buffers
1529649437 KiB Mem: 8197444 total, 8049512 used, 147932 free, 11348 buffers
1529649438 KiB Mem: 8197444 total, 8041488 used, 155956 free, 11356 buffers
1529649439 KiB Mem: 8197444 total, 8042408 used, 155036 free, 11356 buffers
1529649440 KiB Mem: 8197444 total, 8038948 used, 158496 free, 11356 buffers
1529649441 KiB Mem: 8197444 total, 8042588 used, 154856 free, 11356 buffers
1529649442 KiB Mem: 8197444 total, 8042992 used, 154452 free, 11364 buffers
1529649444 KiB Mem: 8197444 total, 8042812 used, 154632 free, 11364 buffers
1529649445 KiB Mem: 8197444 total, 8043084 used, 154360 free, 11364 buffers
1529649446 KiB Mem: 8197444 total, 8043300 used, 154144 free, 11364 buffers
1529649447 KiB Mem: 8197444 total, 8039936 used, 157508 free, 11372 buffers
1529649448 KiB Mem: 8197444 total, 8043656 used, 153788 free, 11372 buffers
1529649449 KiB Mem: 8197444 total, 8043048 used, 154396 free, 11372 buffers
1529649451 KiB Mem: 8197444 total, 8044036 used, 153408 free, 11372 buffers
1529649452 KiB Mem: 8197444 total, 8043688 used, 153756 free, 11372 buffers
1529649453 KiB Mem: 8197444 total, 8043808 used, 153636 free, 11380 buffers
1529649454 KiB Mem: 8197444 total, 8040580 used, 156864 free, 11380 buffers
1529649455 KiB Mem: 8197444 total, 8043856 used, 153588 free, 11380 buffers
1529649456 KiB Mem: 8197444 total, 8044180 used, 153264 free, 11380 buffers
1529649458 KiB Mem: 8197444 total, 8043804 used, 153640 free, 11388 buffers
1529649459 KiB Mem: 8197444 total, 8043764 used, 153680 free, 11388 buffers
1529649460 KiB Mem: 8197444 total, 8043428 used, 154016 free, 11388 buffers
1529649461 KiB Mem: 8197444 total, 8043936 used, 153508 free, 11388 buffers
1529649462 KiB Mem: 8197444 total, 8044736 used, 152708 free, 11388 buffers
1529649463 KiB Mem: 8197444 total, 8045756 used, 151688 free, 11396 buffers
1529649465 KiB Mem: 8197444 total, 8045692 used, 151752 free, 11396 buffers
1529649466 KiB Mem: 8197444 total, 8046292 used, 151152 free, 11396 buffers
1529649467 KiB Mem: 8197444 total, 8047156 used, 150288 free, 11396 buffers
1529649468 KiB Mem: 8197444 total, 8055748 used, 141696 free, 11404 buffers
1529649469 KiB Mem: 8197444 total, 8048532 used, 148912 free, 11404 buffers
1529649470 KiB Mem: 8197444 total, 8055368 used, 142076 free, 11404 buffers
1529649472 KiB Mem: 8197444 total, 8053696 used, 143748 free, 11412 buffers
1529649473 KiB Mem: 8197444 total, 8049724 used, 147720 free, 11412 buffers
1529649474 KiB Mem: 8197444 total, 8046468 used, 150976 free, 11412 buffers
1529649475 KiB Mem: 8197444 total, 8045684 used, 151760 free, 11412 buffers
1529649476 KiB Mem: 8197444 total, 8042836 used, 154608 free, 11412 buffers
1529649477 KiB Mem: 8197444 total, 8045964 used, 151480 free, 11420 buffers
1529649479 KiB Mem: 8197444 total, 8046188 used, 151256 free, 11420 buffers
1529649480 KiB Mem: 8197444 total, 8045256 used, 152188 free, 11420 buffers
1529649481 KiB Mem: 8197444 total, 8045348 used, 152096 free, 11420 buffers
1529649482 KiB Mem: 8197444 total, 8043236 used, 154208 free, 11428 buffers
1529649483 KiB Mem: 8197444 total, 8047548 used, 149896 free, 11432 buffers
1529649485 KiB Mem: 8197444 total, 8049060 used, 148384 free, 11440 buffers
1529649486 KiB Mem: 8197444 total, 8048600 used, 148844 free, 11440 buffers
1529649487 KiB Mem: 8197444 total, 8049692 used, 147752 free, 11440 buffers
1529649488 KiB Mem: 8197444 total, 8049720 used, 147724 free, 11440 buffers
1529649489 KiB Mem: 8197444 total, 8050164 used, 147280 free, 11448 buffers
1529649490 KiB Mem: 8197444 total, 8050404 used, 147040 free, 11448 buffers
1529649492 KiB Mem: 8197444 total, 8050864 used, 146580 free, 11448 buffers
1529649493 KiB Mem: 8197444 total, 8051788 used, 145656 free, 11448 buffers
1529649494 KiB Mem: 8197444 total, 8051528 used, 145916 free, 11456 buffers
